
CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,CUMULATIVE RATE,WEEKLY RATE 
New York,EIP,2020,2020,13,75-84 yr,38.6,21.5
New York,EIP,2020,2020,14,75-84 yr,65.5,26.9
New York,EIP,2020,2020,15,75-84 yr,83.4,17.9
New York,EIP,2020,2020,16,75-84 yr,null,null
New York,EIP,2020,2020,17,75-84 yr,null,null
New York,EIP,2020,2020,18,75-84 yr,null,null
New York,EIP,2020,2020,19,75-84 yr,null,null
New York,EIP,2020,2020,20,75-84 yr,null,null
New York,EIP,2020,2020,21,75-84 yr,null,null
New York,EIP,2020,2020,22,75-84 yr,null,null
New York,EIP,2020,2020,23,75-84 yr,null,null
New York,EIP,2020,2020,24,75-84 yr,null,null
New York,EIP,2020,2020,25,75-84 yr,null,null
New York,EIP,2020,2020,26,75-84 yr,null,null
New York,EIP,2020,2020,27,75-84 yr,null,null
New York,EIP,2020,2020,28,75-84 yr,null,null
New York,EIP,2020,2020,29,75-84 yr,null,null
New York,EIP,2020,2020,30,75-84 yr,null,null
New York,EIP,2020,2020,31,75-84 yr,null,null
New York,EIP,2020,2020,32,75-84 yr,null,null
New York,EIP,2020,2020,33,75-84 yr,null,null
New York,EIP,2020,2020,34,75-84 yr,null,null
New York,EIP,2020,2020,35,75-84 yr,null,null
New York,EIP,2020,2020,36,75-84 yr,null,null
New York,EIP,2020,2020,37,75-84 yr,null,null
New York,EIP,2020,2020,38,75-84 yr,null,null
New York,EIP,2020,2020,39,75-84 yr,null,null
New York,EIP,2020,2020,10,85+,0,0
New York,EIP,2020,2020,11,85+,0,0
New York,EIP,2020,2020,12,85+,9.4,9.4
New York,EIP,2020,2020,13,85+,31.8,22.4
New York,EIP,2020,2020,14,85+,63.6,31.8
New York,EIP,2020,2020,15,85+,86,22.4
New York,EIP,2020,2020,16,85+,null,null
New York,EIP,2020,2020,17,85+,null,null
New York,EIP,2020,2020,18,85+,null,null
New York,EIP,2020,2020,19,85+,null,null
New York,EIP,2020,2020,20,85+,null,null
New York,EIP,2020,2020,21,85+,null,null
New York,EIP,2020,2020,22,85+,null,null
New York,EIP,2020,2020,23,85+,null,null
New York,EIP,2020,2020,24,85+,null,null
New York,EIP,2020,2020,25,85+,null,null
New York,EIP,2020,2020,26,85+,null,null
New York,EIP,2020,2020,27,85+,null,null
New York,EIP,2020,2020,28,85+,null,null
New York,EIP,2020,2020,29,85+,null,null
New York,EIP,2020,2020,30,85+,null,null
New York,EIP,2020,2020,31,85+,null,null
New York,EIP,2020,2020,32,85+,null,null
New York,EIP,2020,2020,33,85+,null,null
New York,EIP,2020,2020,34,85+,null,null
New York,EIP,2020,2020,35,85+,null,null
New York,EIP,2020,2020,36,85+,null,null
New York,EIP,2020,2020,37,85+,null,null
New York,EIP,2020,2020,38,85+,null,null
New York,EIP,2020,2020,39,85+,null,null

Disclaimer:
The Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)
data are preliminary and subject to change as more data become available. COVID-NET conducts
population-based surveillance for laboratory-confirmed COVID-19-associated hospitalizations in
children (less than 18 years of age) and adults. COVID-NET covers nearly 100 counties in the 10
"Emerging Infections Program (EIP) states (CA, CO, CT, GA, MD, MN, NM, NY, OR, TN) and four"
"Influenza Hospitalization Surveillance Project (IHSP) states (IA, MI, OH, and UT). Cumulative and"
"weekly unadjusted incidence rates (per 100,000 population) are calculated using the National Center"
for Health Statistics' (NCHS) vintage 2018 bridged-race postcensal population estimates for the
counties included in the surveillance catchment area. The rates provided are likely to be
underestimated as COVID-19-associated hospitalizations might be missed due to test availability and
provider or facility testing practices.
